r01,r12,r23,r3x
s124,0.593220338983051,0.231638418079096,0.101694915254237,0.0734463276836158
s125,0.88953488372093,0.0930232558139535,0.0116279069767442,0.00581395348837209
s126,0.078125,0.25,0.328125,0.34375
s127,0.0337078651685393,0.241573033707865,0.348314606741573,0.376404494382022
s128,0.0352941176470588,0.347058823529412,0.217647058823529,0.4
s129,0.0225988700564972,0.180790960451977,0.327683615819209,0.468926553672316
s130,0.725274725274725,0.197802197802198,0.0549450549450549,0.021978021978022
s131,0.0740740740740741,0.529100529100529,0.238095238095238,0.158730158730159
s132,0.677595628415301,0.229508196721311,0.0710382513661202,0.0218579234972678
s133,0.142857142857143,0.357142857142857,0.274725274725275,0.225274725274725
s134,0.175141242937853,0.305084745762712,0.299435028248588,0.220338983050847
s135,0.709302325581395,0.226744186046512,0.0465116279069767,0.0174418604651163
s136,0.0104166666666667,0.213541666666667,0.265625,0.510416666666667
s137,0.0674157303370786,0.5,0.264044943820225,0.168539325842697
s138,0.105882352941176,0.241176470588235,0.423529411764706,0.229411764705882
s139,0.463276836158192,0.372881355932203,0.141242937853107,0.0225988700564972
s140,0.0384615384615385,0.236263736263736,0.406593406593407,0.318681318681319
s141,0.0105820105820106,0.0793650793650794,0.26984126984127,0.64021164021164
s142,0.104395604395604,0.401098901098901,0.208791208791209,0.285714285714286
s143,0.137362637362637,0.494505494505495,0.203296703296703,0.164835164835165
s144,0.406779661016949,0.378531073446328,0.11864406779661,0.096045197740113
s145,0.453488372093023,0.406976744186047,0.0930232558139535,0.0465116279069767
s146,0.625,0.28125,0.0572916666666667,0.0364583333333333
s147,0.0112359550561798,0.286516853932584,0.365168539325843,0.337078651685393
s148,0.0764705882352941,0.294117647058824,0.235294117647059,0.394117647058824
s149,0.440677966101695,0.372881355932203,0.141242937853107,0.0451977401129944
s150,0.186813186813187,0.313186813186813,0.197802197802198,0.302197802197802
s151,0.830687830687831,0.142857142857143,0.0211640211640212,0.00529100529100529
s152,0.0601092896174863,0.224043715846995,0.311475409836066,0.404371584699454
s153,0.0934065934065934,0.406593406593407,0.302197802197802,0.197802197802198
s154,0.0112994350282486,0.19774011299435,0.384180790960452,0.406779661016949
s155,0.0406976744186047,0.25,0.331395348837209,0.377906976744186
s156,0.0885416666666667,0.40625,0.260416666666667,0.244791666666667
s157,0.0955056179775281,0.415730337078652,0.286516853932584,0.202247191011236
s158,0.594117647058824,0.323529411764706,0.0529411764705882,0.0294117647058824
s159,0.199095022624434,0.235294117647059,0.366515837104072,0.199095022624434
s160,0.104395604395604,0.318681318681319,0.324175824175824,0.252747252747253
s161,0.656084656084656,0.26984126984127,0.0529100529100529,0.0211640211640212
s162,0.459016393442623,0.322404371584699,0.136612021857924,0.0819672131147541
s163,0.010989010989011,0.236263736263736,0.351648351648352,0.401098901098901
