sid,r01,r12,r21,r3x
s137,0.0710059171597633,0.473372781065089,0.27810650887574,0.177514792899408
s138,0.0961538461538462,0.224358974358974,0.429487179487179,0.25
s139,0.465909090909091,0.375,0.142045454545455,0.0170454545454545
s140,0.0388888888888889,0.233333333333333,0.405555555555556,0.322222222222222
s141,0.0108108108108108,0.0756756756756757,0.259459459459459,0.654054054054054
s142,0.11046511627907,0.383720930232558,0.209302325581395,0.296511627906977
s143,0.142045454545455,0.488636363636364,0.198863636363636,0.170454545454545
s144,0.401197604790419,0.383233532934132,0.11377245508982,0.101796407185629
s145,0.44311377245509,0.413173652694611,0.0958083832335329,0.0479041916167665
s146,0.631016042780749,0.283422459893048,0.053475935828877,0.0320855614973262
s147,0.0118343195266272,0.254437869822485,0.378698224852071,0.355029585798817
s148,0.0705128205128205,0.262820512820513,0.237179487179487,0.429487179487179
s149,0.443181818181818,0.375,0.142045454545455,0.0397727272727273
s150,0.188888888888889,0.311111111111111,0.194444444444444,0.305555555555556
s151,0.843243243243243,0.135135135135135,0.0162162162162162,0.00540540540540541
s152,0.0635838150289017,0.202312138728324,0.312138728323699,0.421965317919075
s153,0.0965909090909091,0.392045454545455,0.306818181818182,0.204545454545455
s154,0.00598802395209581,0.173652694610778,0.389221556886228,0.431137724550898
s155,0.0419161676646707,0.227544910179641,0.341317365269461,0.389221556886228
s156,0.0909090909090909,0.401069518716578,0.262032085561497,0.245989304812834
s157,0.0946745562130177,0.402366863905325,0.289940828402367,0.21301775147929
s158,0.602564102564103,0.326923076923077,0.0384615384615385,0.032051282051282
s159,0.2,0.236363636363636,0.363636363636364,0.2
s160,0.105555555555556,0.311111111111111,0.327777777777778,0.255555555555556
s161,0.659459459459459,0.27027027027027,0.0486486486486487,0.0216216216216216
s162,0.468208092485549,0.317919075144509,0.132947976878613,0.0809248554913295
s163,0.0113636363636364,0.227272727272727,0.346590909090909,0.414772727272727
s164,0.0419161676646707,0.275449101796407,0.251497005988024,0.431137724550898
s165,0.0119760479041916,0.25748502994012,0.347305389221557,0.383233532934132
s166,0.0909090909090909,0.245989304812834,0.304812834224599,0.358288770053476
s167,0.0769230769230769,0.420118343195266,0.313609467455621,0.189349112426035
s168,0.711538461538462,0.217948717948718,0.0384615384615385,0.032051282051282
s169,0.715909090909091,0.181818181818182,0.0625,0.0397727272727273
s170,0.0722222222222222,0.3,0.277777777777778,0.35
s171,0.335135135135135,0.443243243243243,0.140540540540541,0.0810810810810811
s172,0.0809248554913295,0.265895953757225,0.335260115606936,0.317919075144509
s173,0.744318181818182,0.193181818181818,0.0397727272727273,0.0227272727272727
s174,0.029940119760479,0.239520958083832,0.323353293413174,0.407185628742515
s175,0.0359281437125748,0.449101796407186,0.335329341317365,0.179640718562874
s176,0.0053475935828877,0.0588235294117647,0.155080213903743,0.780748663101604
s177,0.0710059171597633,0.337278106508876,0.289940828402367,0.301775147928994
s178,0.032051282051282,0.352564102564103,0.269230769230769,0.346153846153846
s179,0.829545454545455,0.107954545454545,0.0284090909090909,0.0340909090909091
s180,0.0444444444444444,0.15,0.227777777777778,0.577777777777778
s181,0.189189189189189,0.491891891891892,0.210810810810811,0.108108108108108
s182,0.0635838150289017,0.335260115606936,0.265895953757225,0.335260115606936
s183,0.0382513661202186,0.19672131147541,0.726775956284153,0.0382513661202186
s184,0.197604790419162,0.473053892215569,0.251497005988024,0.0778443113772455
s185,0.0239520958083832,0.275449101796407,0.413173652694611,0.287425149700599
s186,0.459893048128342,0.347593582887701,0.122994652406417,0.0695187165775401
s187,0.171597633136095,0.461538461538462,0.230769230769231,0.136094674556213
s188,0.0192307692307692,0.0641025641025641,0.198717948717949,0.717948717948718
s189,0.0397727272727273,0.289772727272727,0.323863636363636,0.346590909090909
s190,0.0388888888888889,0.277777777777778,0.316666666666667,0.366666666666667
s191,0.46685878962536,0.0634005763688761,0.00288184438040346,0.46685878962536
s192,0.104651162790698,0.395348837209302,0.290697674418605,0.209302325581395
s193,0.72,0.211428571428571,0.0571428571428571,0.0114285714285714
s194,0.0778443113772455,0.377245508982036,0.287425149700599,0.25748502994012
s195,0.0838323353293413,0.275449101796407,0.401197604790419,0.239520958083832
s196,0.796791443850267,0.133689839572193,0.0481283422459893,0.0213903743315508
s197,0.100591715976331,0.467455621301775,0.27810650887574,0.153846153846154
s198,0.446808510638298,0.0921985815602837,0.0141843971631206,0.446808510638298
s199,0.869318181818182,0.107954545454545,0.0113636363636364,0.0113636363636364
s200,0.561111111111111,0.327777777777778,0.105555555555556,0.00555555555555556
s201,0.0108108108108108,0.162162162162162,0.362162162162162,0.464864864864865
s202,0.0697674418604651,0.267441860465116,0.354651162790698,0.308139534883721
