r01,r12,r21,r3x
s057,0.122994652406417,0.433155080213904,0.251336898395722,0.192513368983957
s058,0.184357541899441,0.458100558659218,0.23463687150838,0.122905027932961
s059,0.0326086956521739,0.239130434782609,0.331521739130435,0.396739130434783
s060,0.579787234042553,0.313829787234043,0.0691489361702128,0.0372340425531915
s061,0.744897959183674,0.163265306122449,0.0561224489795918,0.0357142857142857
s062,0.684210526315789,0.163157894736842,0.0894736842105263,0.0631578947368421
s063,0.127659574468085,0.196808510638298,0.313829787234043,0.361702127659574
s064,0.0324324324324324,0.275675675675676,0.351351351351351,0.340540540540541
s065,0.0810810810810811,0.313513513513514,0.32972972972973,0.275675675675676
s066,0.380710659898477,0.319796954314721,0.152284263959391,0.147208121827411
s067,0.347593582887701,0.374331550802139,0.203208556149733,0.0748663101604278
s068,0.0446927374301676,0.240223463687151,0.363128491620112,0.35195530726257
s069,0.108695652173913,0.304347826086957,0.347826086956522,0.239130434782609
s070,0.0531914893617021,0.202127659574468,0.372340425531915,0.372340425531915
s071,0.0357142857142857,0.285714285714286,0.316326530612245,0.362244897959184
s072,0.357894736842105,0.368421052631579,0.168421052631579,0.105263157894737
s073,0.0159574468085106,0.180851063829787,0.292553191489362,0.51063829787234
s074,0.0756756756756757,0.416216216216216,0.291891891891892,0.216216216216216
s075,0.0324324324324324,0.264864864864865,0.378378378378378,0.324324324324324
s076,0.299492385786802,0.467005076142132,0.157360406091371,0.0761421319796954
s077,0.0427807486631016,0.262032085561497,0.294117647058824,0.401069518716578
s078,0.273743016759777,0.312849162011173,0.217877094972067,0.195530726256983
s079,0.777173913043478,0.16304347826087,0.0543478260869565,0.00543478260869565
s080,0.420212765957447,0.388297872340426,0.138297872340426,0.0531914893617021
s081,0.0408163265306122,0.188775510204082,0.316326530612245,0.454081632653061
s082,0.162303664921466,0.31413612565445,0.272251308900524,0.25130890052356
s083,0.154255319148936,0.441489361702128,0.26063829787234,0.143617021276596
s084,0.443243243243243,0.286486486486487,0.12972972972973,0.140540540540541
s085,0.897297297297297,0.0810810810810811,0.0162162162162162,0.00540540540540541
s086,0.187817258883249,0.375634517766497,0.203045685279188,0.233502538071066
s087,0.893048128342246,0.0748663101604278,0.0267379679144385,0.0053475935828877
s088,0.608938547486033,0.279329608938547,0.100558659217877,0.0111731843575419
s089,0.0923913043478261,0.347826086956522,0.347826086956522,0.21195652173913
s090,0.606382978723404,0.271276595744681,0.0904255319148936,0.0319148936170213
s091,0.0820512820512821,0.379487179487179,0.251282051282051,0.287179487179487
s092,0.0209424083769634,0.136125654450262,0.261780104712042,0.581151832460733
s093,0.0797872340425532,0.287234042553192,0.324468085106383,0.308510638297872
s094,0.113513513513514,0.410810810810811,0.243243243243243,0.232432432432432
s095,0.0162162162162162,0.210810810810811,0.308108108108108,0.464864864864865
s096,0.736040609137056,0.197969543147208,0.0456852791878173,0.0203045685279188
s097,0.0213903743315508,0.112299465240642,0.352941176470588,0.513368983957219
s098,0.00558659217877095,0.256983240223464,0.284916201117318,0.452513966480447
s099,0.277173913043478,0.41304347826087,0.206521739130435,0.103260869565217
s100,0.856382978723404,0.111702127659574,0.0212765957446809,0.0106382978723404
s101,0.198979591836735,0.5,0.214285714285714,0.086734693877551
s102,0.293193717277487,0.507853403141361,0.120418848167539,0.0785340314136126
s103,0.382978723404255,0.308510638297872,0.191489361702128,0.117021276595745
s104,0.335135135135135,0.432432432432432,0.167567567567568,0.0648648648648649
